name,position,class_year,school,external_id,scoring_date,career_yprr,best_yprr,receiving_yprr,yards_after_contact_per_attempt,missed_tackles_per_attempt,ras
KC Concepcion,WR,2026,Texas A&M,CON046719,2026-04-30,,,,,,
Omar Cooper Jr.,WR,2026,Indiana,COO816508,2026-04-30,,,,,,
De'Zhaun Stribling,WR,2026,Mississippi,StriDe01,2026-04-30,,,,,,
Denzel Boston,WR,2026,Washington,BOS677861,2026-04-30,,,,,,
Germie Bernard,WR,2026,Alabama,BER218265,2026-04-30,,,,,,
Antonio Williams,WR,2026,Clemson,WIL143106,2026-04-30,,,,,,
Malachi Fields,WR,2026,Notre Dame,FIE775129,2026-04-30,,,,,,
Caleb Douglas,WR,2026,Texas Tech,DOU210628,2026-04-30,,,,,,
Zachariah Branch,WR,2026,Georgia,BRA531428,2026-04-30,,,,,,
Ja'Kobi Lane,WR,2026,USC,LAN311008,2026-04-30,,,,,,
Chris Brazzell II,WR,2026,Tennessee,BRA836631,2026-04-30,,,,,,
Ted Hurst,WR,2026,Georgia St.,HUR541377,2026-04-30,,,,,,
Zavion Thomas,WR,2026,LSU,THO417520,2026-04-30,,,,,,
Chris Bell,WR,2026,Louisville,BEL267684,2026-04-30,,,,,,
Brenen Thompson,WR,2026,Mississippi St.,THO495568,2026-04-30,,,,,,
Elijah Sarratt,WR,2026,Indiana,SAR527100,2026-04-30,,,,,,
Kaden Wetjen,WR,2026,Iowa,WET055619,2026-04-30,,,,,,
Skyler Bell,WR,2026,Connecticut,BEL597603,2026-04-30,,,,,,
Bryce Lance,WR,2026,North Dakota St.,LAN016345,2026-04-30,,,,,,
Colbie Young,WR,2026,Georgia,YounCo01,2026-04-30,,,,,,
Reggie Virgil,WR,2026,Texas Tech,VIR271235,2026-04-30,,,,,,
Kendrick Law,WR,2026,Kentucky,LAW090280,2026-04-30,,,,,,
Cyrus Allen,WR,2026,Cincinnati,ALL092954,2026-04-30,,,,,,
Kevin Coleman Jr.,WR,2026,Missouri,COL362413,2026-04-30,,,,,,
Barion Brown,WR,2026,LSU,BRO268113,2026-04-30,,,,,,
Josh Cameron,WR,2026,Baylor,CAM108646,2026-04-30,,,,,,
Malik Benson,WR,2026,Oregon,BEN601117,2026-04-30,,,,,,
CJ Daniels,WR,2026,Miami (FL),DAN490797,2026-04-30,,,,,,
Emmanuel Henderson Jr.,WR,2026,Kansas,HEN199637,2026-04-30,,,,,,
CJ Williams,WR,2026,Stanford,WIL189259,2026-04-30,,,,,,
Lewis Bond,WR,2026,Boston Col.,BON235618,2026-04-30,,,,,,
Anthony Smith,WR,2026,East Carolina,SMI038569,2026-04-30,,,,,,
Deion Burks,WR,2026,Oklahoma,BurkDe02,2026-04-30,,,,,,
