name,position,class_year,school,external_id,scoring_date,career_yprr,best_yprr,receiving_yprr,yards_after_contact_per_attempt,missed_tackles_per_attempt,ras
Kadarius Toney,WR,2021,Florida,00-0036913,2021-04-30,,,,,,
Rashod Bateman,WR,2021,Minnesota,00-0036550,2021-04-30,,,,,,
Elijah Moore,WR,2021,Mississippi,00-0036980,2021-04-30,,,,,,
Rondale Moore,WR,2021,Purdue,00-0036936,2021-04-30,,,,,,
D'Wayne Eskridge,WR,2021,Western Michigan,00-0036620,2021-04-30,,,,,,
Tutu Atwell,WR,2021,Louisville,00-0036849,2021-04-30,,,,,,
Terrace Marshall Jr.,WR,2021,LSU,00-0036955,2021-04-30,,,,,,
Josh Palmer,WR,2021,Tennessee,00-0036988,2021-04-30,,,,,,
Dyami Brown,WR,2021,North Carolina,00-0036626,2021-04-30,,,,,,
Amari Rodgers,WR,2021,Clemson,00-0036991,2021-04-30,,,,,,
Nico Collins,WR,2021,Michigan,00-0036554,2021-04-30,,,,,,
Anthony Schwartz,WR,2021,Auburn,00-0036999,2021-04-30,,,,,,
Dez Fitzpatrick,WR,2021,Louisville,00-0036627,2021-04-30,,,,,,
Amon-Ra St. Brown,WR,2021,USC,00-0036963,2021-04-30,,,,,,
Jaelon Darden,WR,2021,North Texas,00-0036877,2021-04-30,,,,,,
Tylan Wallace,WR,2021,Oklahoma St.,00-0036630,2021-04-30,,,,,,
Jacob Harris,WR,2021,Central Florida,00-0036918,2021-04-30,,,,,,
Ihmir Smith-Marsette,WR,2021,Iowa,00-0036635,2021-04-30,,,,,,
Simi Fehoko,WR,2021,Stanford,00-0036646,2021-04-30,,,,,,
Cornell Powell,WR,2021,Clemson,00-0036647,2021-04-30,,,,,,
Frank Darby,WR,2021,Arizona St.,00-0036951,2021-04-30,,,,,,
Marquez Stevenson,WR,2021,Houston,00-0036571,2021-04-30,,,,,,
Shi Smith,WR,2021,South Carolina,00-0036572,2021-04-30,,,,,,
Racey McMath,WR,2021,LSU,00-0036652,2021-04-30,,,,,,
Jalen Camp,WR,2021,Georgia Tech,00-0036858,2021-04-30,,,,,,
Seth Williams,WR,2021,Auburn,00-0036657,2021-04-30,,,,,,
Dazz Newsome,WR,2021,North Carolina,00-0036907,2021-04-30,,,,,,
Mike Strachan,WR,2021,Charleston (WV),00-0036482,2021-04-30,,,,,,
Tre Nixon,WR,2021,Central Florida,00-0036536,2021-04-30,,,,,,
Ben Skowronek,WR,2021,Notre Dame,00-0036862,2021-04-30,,,,,,
Kawaan Baker,WR,2021,South Alabama,00-0036939,2021-04-30,,,,,,
Dax Milne,WR,2021,BYU,00-0036671,2021-04-30,,,,,,
Breece Hall,RB,2022,Iowa St.,00-0038120,2022-04-30,,,,,,
Kenneth Walker III,RB,2022,Michigan St.,00-0038134,2022-04-30,,,,,,
James Cook,RB,2022,Georgia,00-0037248,2022-04-30,,,,,,
Rachaad White,RB,2022,Arizona St.,00-0037256,2022-04-30,,,,,,
Tyrion Davis-Price,RB,2022,LSU,00-0037827,2022-04-30,,,,,,
Brian Robinson Jr.,RB,2022,Alabama,00-0037746,2022-04-30,,,,,,
Dameon Pierce,RB,2022,Florida,00-0037258,2022-04-30,,,,,,
Zamir White,RB,2022,Georgia,00-0038040,2022-04-30,,,,,,
Isaiah Spiller,RB,2022,Texas A&M,00-0038045,2022-04-30,,,,,,
Pierre Strong,RB,2022,South Dakota St.,00-0038098,2022-04-30,,,,,,
Hassan Haskins,RB,2022,Michigan,00-0037617,2022-04-30,,,,,,
Tyler Allgeier,RB,2022,BYU,00-0037263,2022-04-30,,,,,,
Snoop Conner,RB,2022,Mississippi,00-0037265,2022-04-30,,,,,,
Jerome Ford,RB,2022,Cincinnati,00-0037267,2022-04-30,,,,,,
Kyren Williams,RB,2022,Notre Dame,00-0037840,2022-04-30,,,,,,
Ty Chandler,RB,2022,North Carolina,00-0037276,2022-04-30,,,,,,
Tykevious Chandler,RB,2022,North Carolina,ChanTy01,2022-04-30,,,,,,
Kevin Harris,RB,2022,South Carolina,00-0037286,2022-04-30,,,,,,
Tyler Badie,RB,2022,Missouri,00-0037085,2022-04-30,,,,,,
Keaontay Ingram,RB,2022,USC,00-0037299,2022-04-30,,,,,,
Trestan Ebner,RB,2022,Baylor,00-0037087,2022-04-30,,,,,,
Brittain Brown,RB,2022,UCLA,00-0037329,2022-04-30,,,,,,
Isiah Pacheco,RB,2022,Rutgers,00-0037197,2022-04-30,,,,,,
Zander Horvath,RB,2022,Purdue,00-0037331,2022-04-30,,,,,,
Drake London,WR,2022,USC,00-0037238,2022-04-30,,,,,,
