name,position,class_year,school,external_id,scoring_date,target_share
Jaylen Waddle,WR,2021,Alabama,00-0036613,2021-04-30,0.08656716417910448
DeVonta Smith,WR,2021,Alabama,00-0036912,2021-04-30,0.3641791044776119
Kadarius Toney,WR,2021,Florida,00-0036913,2021-04-30,0.20140515222482436
Rashod Bateman,WR,2021,Minnesota,00-0036550,2021-04-30,0.3167701863354037
Elijah Moore,WR,2021,Mississippi,00-0036980,2021-04-30,0.36771300448430494
Rondale Moore,WR,2021,Purdue,00-0036936,2021-04-30,0.1906779661016949
D'Wayne Eskridge,WR,2021,Western Michigan,00-0036620,2021-04-30,
Tutu Atwell,WR,2021,Louisville,00-0036849,2021-04-30,
Terrace Marshall Jr.,WR,2021,LSU,00-0036955,2021-04-30,0.17875647668393782
Josh Palmer,WR,2021,Tennessee,00-0036988,2021-04-30,
Dyami Brown,WR,2021,North Carolina,00-0036626,2021-04-30,0.2841726618705036
Amari Rodgers,WR,2021,Clemson,00-0036991,2021-04-30,0.21994884910485935
Nico Collins,WR,2021,Michigan,00-0036554,2021-04-30,0.15384615384615385
Anthony Schwartz,WR,2021,Auburn,00-0036999,2021-04-30,0.2793103448275862
Dez Fitzpatrick,WR,2021,Louisville,00-0036627,2021-04-30,0.23333333333333334
Amon-Ra St. Brown,WR,2021,USC,00-0036963,2021-04-30,0.2413793103448276
Jaelon Darden,WR,2021,North Texas,00-0036877,2021-04-30,0.47767857142857145
Tylan Wallace,WR,2021,Oklahoma St.,00-0036630,2021-04-30,0.2932330827067669
Jacob Harris,WR,2021,Central Florida,00-0036918,2021-04-30,0.1471698113207547
Ihmir Smith-Marsette,WR,2021,Iowa,00-0036635,2021-04-30,0.18137254901960784
Simi Fehoko,WR,2021,Stanford,00-0036646,2021-04-30,0.28426395939086296
Cornell Powell,WR,2021,Clemson,00-0036647,2021-04-30,0.16112531969309463
Frank Darby,WR,2021,Arizona St.,00-0036951,2021-04-30,0.14285714285714285
Marquez Stevenson,WR,2021,Houston,00-0036571,2021-04-30,0.11739130434782609
Shi Smith,WR,2021,South Carolina,00-0036572,2021-04-30,0.3137254901960784
Racey McMath,WR,2021,LSU,00-0036652,2021-04-30,0.054404145077720206
Jalen Camp,WR,2021,Georgia Tech,00-0036858,2021-04-30,0.15584415584415584
Seth Williams,WR,2021,Auburn,00-0036657,2021-04-30,0.27586206896551724
Dazz Newsome,WR,2021,North Carolina,00-0036907,2021-04-30,0.1906474820143885
Mike Strachan,WR,2021,Charleston (WV),00-0036482,2021-04-30,
Tre Nixon,WR,2021,Central Florida,00-0036536,2021-04-30,0.07924528301886792
Ben Skowronek,WR,2021,Notre Dame,00-0036862,2021-04-30,0.12627986348122866
Kawaan Baker,WR,2021,South Alabama,00-0036939,2021-04-30,0.21587301587301588
Dax Milne,WR,2021,BYU,00-0036671,2021-04-30,0.25752508361204013
Breece Hall,RB,2022,Iowa St.,00-0038120,2022-04-30,0.11188811188811189
Kenneth Walker III,RB,2022,Michigan St.,00-0038134,2022-04-30,0.06204379562043796
James Cook,RB,2022,Georgia,00-0037248,2022-04-30,0.07857142857142857
Rachaad White,RB,2022,Arizona St.,00-0037256,2022-04-30,0.2017167381974249
Tyrion Davis-Price,RB,2022,LSU,00-0037827,2022-04-30,0.03793103448275862
Brian Robinson Jr.,RB,2022,Alabama,00-0037746,2022-04-30,0.08490566037735849
Dameon Pierce,RB,2022,Florida,00-0037258,2022-04-30,0.050505050505050504
Zamir White,RB,2022,Georgia,00-0038040,2022-04-30,0.02857142857142857
Isaiah Spiller,RB,2022,Texas A&M,00-0038045,2022-04-30,0.11643835616438356
Pierre Strong,RB,2022,South Dakota St.,00-0038098,2022-04-30,
Hassan Haskins,RB,2022,Michigan,00-0037617,2022-04-30,0.058823529411764705
Tyler Allgeier,RB,2022,BYU,00-0037263,2022-04-30,0.11151079136690648
Snoop Conner,RB,2022,Mississippi,00-0037265,2022-04-30,0.041666666666666664
Jerome Ford,RB,2022,Cincinnati,00-0037267,2022-04-30,0.061488673139158574
Kyren Williams,RB,2022,Notre Dame,00-0037840,2022-04-30,0.13753581661891118
Ty Chandler,RB,2022,North Carolina,00-0037276,2022-04-30,0.046357615894039736
Tykevious Chandler,RB,2022,North Carolina,ChanTy01,2022-04-30,
Kevin Harris,RB,2022,South Carolina,00-0037286,2022-04-30,
Tyler Badie,RB,2022,Missouri,00-0037085,2022-04-30,0.21292775665399238
Keaontay Ingram,RB,2022,USC,00-0037299,2022-04-30,0.056511056511056514
Trestan Ebner,RB,2022,Baylor,00-0037087,2022-04-30,0.10652920962199312
Brittain Brown,RB,2022,UCLA,00-0037329,2022-04-30,0.07441860465116279
Isiah Pacheco,RB,2022,Rutgers,00-0037197,2022-04-30,
Zander Horvath,RB,2022,Purdue,00-0037331,2022-04-30,
Drake London,WR,2022,USC,00-0037238,2022-04-30,0.23832923832923833
Garrett Wilson,WR,2022,Ohio St.,00-0037740,2022-04-30,0.24162679425837322
Chris Olave,WR,2022,Ohio St.,00-0037239,2022-04-30,0.22966507177033493
Jameson Williams,WR,2022,Alabama,00-0037240,2022-04-30,0.2240566037735849
Jahan Dotson,WR,2022,Penn St.,00-0037741,2022-04-30,0.3438395415472779
Treylon Burks,WR,2022,Arkansas,00-0037742,2022-04-30,0.32456140350877194
Christian Watson,WR,2022,North Dakota St.,00-0038124,2022-04-30,
Wan'Dale Robinson,WR,2022,Kentucky,00-0038117,2022-04-30,0.40070921985815605
John Metchie,WR,2022,Alabama,00-0037614,2022-04-30,0.2830188679245283
Tyquan Thornton,WR,2022,Baylor,00-0038104,2022-04-30,0.28865979381443296
George Pickens,WR,2022,Georgia,00-0037247,2022-04-30,0.02142857142857143
Alec Pierce,WR,2022,Cincinnati,00-0037664,2022-04-30,0.23300970873786409
Skyy Moore,WR,2022,Western Michigan,00-0038090,2022-04-30,0.41304347826086957
Velus Jones Jr.,WR,2022,Tennessee,00-0037745,2022-04-30,0.213768115942029
Jalen Tolbert,WR,2022,South Alabama,00-0037666,2022-04-30,0.3424124513618677
David Bell,WR,2022,Purdue,00-0037257,2022-04-30,0.2650334075723831
Danny Gray,WR,2022,SMU,00-0037828,2022-04-30,0.16292134831460675
Erik Ezukanma,WR,2022,Texas Tech,00-0038092,2022-04-30,0.1948529411764706
Romeo Doubs,WR,2022,Nevada,00-0037816,2022-04-30,0.20588235294117646
Calvin Austin III,WR,2022,Memphis,00-0037837,2022-04-30,0.2724358974358974
Khalil Shakir,WR,2022,Boise St.,00-0037261,2022-04-30,0.30855018587360594
Montrell Washington,WR,2022,Samford,00-0037272,2022-04-30,
