name,position,class_year,school,external_id,scoring_date,early_declare
Ashton Jeanty,RB,2025,Boise St.,00-0040122,2025-04-30,true
Omarion Hampton,RB,2025,North Carolina,00-0040666,2025-04-30,true
Quinshon Judkins,RB,2025,Ohio St.,00-0040784,2025-04-30,false
TreVeyon Henderson,RB,2025,Ohio St.,00-0040734,2025-04-30,false
RJ Harvey,RB,2025,Central Florida,00-0040730,2025-04-30,false
Kaleb Johnson,RB,2025,Iowa,00-0040142,2025-04-30,true
Bhayshul Tuten,RB,2025,Virginia Tech,00-0040719,2025-04-30,false
Cam Skattebo,RB,2025,Arizona St.,00-0040715,2025-04-30,false
Trevor Etienne,RB,2025,Georgia,00-0040644,2025-04-30,true
Woody Marks,RB,2025,USC,00-0040583,2025-04-30,false
Jarquez Hunter,RB,2025,Auburn,00-0040692,2025-04-30,false
Dylan Sampson,RB,2025,Tennessee,00-0040162,2025-04-30,true
Jordan James,RB,2025,Oregon,00-0040177,2025-04-30,true
Jaydon Blue,RB,2025,Texas,00-0040586,2025-04-30,true
DJ Giddens,RB,2025,Kansas St.,00-0040179,2025-04-30,true
Ollie Gordon,RB,2025,Oklahoma St.,00-0040198,2025-04-30,true
Devin Neal,RB,2025,Kansas,00-0040202,2025-04-30,false
Kalel Mullings,RB,2025,Michigan,00-0040205,2025-04-30,false
Tahj Brooks,RB,2025,Texas Tech,00-0040208,2025-04-30,false
Damien Martinez,RB,2025,Miami (FL),00-0040651,2025-04-30,true
Brashard Smith,RB,2025,SMU,00-0040078,2025-04-30,false
Kyle Monangai,RB,2025,Rutgers,00-0040236,2025-04-30,false
LeQuint Allen,RB,2025,Syracuse,00-0040238,2025-04-30,true
Phil Mafah,RB,2025,Clemson,00-0040021,2025-04-30,false
Jacory Croskey-Merritt,RB,2025,Arizona,00-0040242,2025-04-30,false
Travis Hunter,WR,2025,Colorado,00-0040718,2025-04-30,false
Tetairoa McMillan,WR,2025,Arizona,00-0040124,2025-04-30,true
Emeka Egbuka,WR,2025,Ohio St.,00-0040129,2025-04-30,false
Matthew Golden,WR,2025,Texas,00-0040667,2025-04-30,true
Jayden Higgins,WR,2025,Iowa St.,00-0040130,2025-04-30,false
Luther Burden,WR,2025,Missouri,00-0040735,2025-04-30,true
Tre Harris,WR,2025,Mississippi,00-0040727,2025-04-30,false
Cleveland Harris,WR,2025,Mississippi,HarrTr03,2025-04-30,false
Jack Bech,WR,2025,TCU,00-0040729,2025-04-30,false
Kyle Williams,WR,2025,Washington St.,00-0040131,2025-04-30,false
Isaac TeSlaa,WR,2025,Arkansas,00-0040669,2025-04-30,false
Pat Bryant,WR,2025,Illinois,00-0040134,2025-04-30,false
Jaylin Noel,WR,2025,Iowa St.,00-0040138,2025-04-30,false
Savion Williams,WR,2025,TCU,00-0040009,2025-04-30,false
Tai Felton,WR,2025,Maryland,00-0040154,2025-04-30,false
Chimere Dike,WR,2025,Florida,00-0040705,2025-04-30,false
Dont'e Thornton,WR,2025,Tennessee,00-0040581,2025-04-30,false
Arian Smith,WR,2025,Georgia,00-0040582,2025-04-30,false
Jaylin Lane,WR,2025,Virginia Tech,00-0040164,2025-04-30,false
Joshua Lane,WR,2025,Virginia Tech,LaneJa00,2025-04-30,false
Jalen Royals,WR,2025,Utah St.,00-0040646,2025-04-30,false
Elic Ayomanor,WR,2025,Stanford,00-0040170,2025-04-30,true
Jordan Watkins,WR,2025,Mississippi,00-0040172,2025-04-30,false
KeAndre Lambert-Smith,WR,2025,Auburn,00-0040184,2025-04-30,false
Tory Horton,WR,2025,Colorado St.,00-0040648,2025-04-30,false
LaJohntay Wester,WR,2025,Colorado,00-0040075,2025-04-30,false
Jimmy Horn,WR,2025,Colorado,00-0040218,2025-04-30,false
Tez Johnson,WR,2025,Oregon,00-0040237,2025-04-30,false
Ricky White,WR,2025,UNLV,00-0040653,2025-04-30,false
Kaden Prather,WR,2025,Maryland,PratKa00,2025-04-30,false
Konata Mumpfield,WR,2025,Pittsburgh,00-0040590,2025-04-30,false
Dominic Lovett,WR,2025,Georgia,00-0040241,2025-04-30,false
