name,position,class_year,school,external_id,scoring_date,early_declare
Junior Bergen,WR,2025,Montana,00-0040247,2025-04-30,false
Jeremiyah Love,RB,2026,Notre Dame,LOV121782,2026-04-30,true
Jadarian Price,RB,2026,Notre Dame,PRI206342,2026-04-30,true
Kaelon Black,RB,2026,Indiana,BLA097235,2026-04-30,false
Jonah Coleman,RB,2026,Washington,COL293648,2026-04-30,false
Mike Washington Jr.,RB,2026,Arkansas,WAS797326,2026-04-30,false
Emmett Johnson,RB,2026,Nebraska,JOH224817,2026-04-30,true
Nicholas Singleton,RB,2026,Penn St.,SingNi01,2026-04-30,false
Adam Randall,RB,2026,Clemson,RAN022436,2026-04-30,false
Kaytron Allen,RB,2026,Penn St.,ALL532376,2026-04-30,false
Demond Claiborne,RB,2026,Wake Forest,CLA041524,2026-04-30,false
Seth McGowan,RB,2026,Kentucky,MCG547540,2026-04-30,false
Jam Miller,RB,2026,Alabama,MIL303300,2026-04-30,false
Carnell Tate,WR,2026,Ohio St.,TAT143045,2026-04-30,true
Jordyn Tyson,WR,2026,Arizona St.,TYS405541,2026-04-30,true
Makai Lemon,WR,2026,USC,LEM694125,2026-04-30,true
KC Concepcion,WR,2026,Texas A&M,CON046719,2026-04-30,true
Omar Cooper Jr.,WR,2026,Indiana,COO816508,2026-04-30,false
De'Zhaun Stribling,WR,2026,Mississippi,StriDe01,2026-04-30,false
Denzel Boston,WR,2026,Washington,BOS677861,2026-04-30,true
Germie Bernard,WR,2026,Alabama,BER218265,2026-04-30,false
Antonio Williams,WR,2026,Clemson,WIL143106,2026-04-30,true
Malachi Fields,WR,2026,Notre Dame,FIE775129,2026-04-30,false
Caleb Douglas,WR,2026,Texas Tech,DOU210628,2026-04-30,false
Zachariah Branch,WR,2026,Georgia,BRA531428,2026-04-30,true
Ja'Kobi Lane,WR,2026,USC,LAN311008,2026-04-30,true
Chris Brazzell II,WR,2026,Tennessee,BRA836631,2026-04-30,true
Ted Hurst,WR,2026,Georgia St.,HUR541377,2026-04-30,false
Zavion Thomas,WR,2026,LSU,THO417520,2026-04-30,false
Chris Bell,WR,2026,Louisville,BEL267684,2026-04-30,false
Brenen Thompson,WR,2026,Mississippi St.,THO495568,2026-04-30,false
Elijah Sarratt,WR,2026,Indiana,SAR527100,2026-04-30,false
Kaden Wetjen,WR,2026,Iowa,WET055619,2026-04-30,false
Skyler Bell,WR,2026,Connecticut,BEL597603,2026-04-30,false
Bryce Lance,WR,2026,North Dakota St.,LAN016345,2026-04-30,false
Colbie Young,WR,2026,Georgia,YounCo01,2026-04-30,false
Reggie Virgil,WR,2026,Texas Tech,VIR271235,2026-04-30,false
Kendrick Law,WR,2026,Kentucky,LAW090280,2026-04-30,false
Cyrus Allen,WR,2026,Cincinnati,ALL092954,2026-04-30,false
Kevin Coleman Jr.,WR,2026,Missouri,COL362413,2026-04-30,false
Barion Brown,WR,2026,LSU,BRO268113,2026-04-30,false
Josh Cameron,WR,2026,Baylor,CAM108646,2026-04-30,false
Malik Benson,WR,2026,Oregon,BEN601117,2026-04-30,false
CJ Daniels,WR,2026,Miami (FL),DAN490797,2026-04-30,false
Emmanuel Henderson Jr.,WR,2026,Kansas,HEN199637,2026-04-30,false
CJ Williams,WR,2026,Stanford,WIL189259,2026-04-30,false
Lewis Bond,WR,2026,Boston Col.,BON235618,2026-04-30,false
Anthony Smith,WR,2026,East Carolina,SMI038569,2026-04-30,false
Deion Burks,WR,2026,Oklahoma,BurkDe02,2026-04-30,false
