name,position,class_year,school,external_id,scoring_date,draft_round,overall_pick,nfl_team,pass_play_usage,best_pass_play_usage,receiving_ppa,career_receiving_ppa,best_receiving_ppa,rushing_ppa,career_rushing_ppa,best_rushing_ppa,career_yprr,best_yprr,target_share,receiving_yard_share,age_at_draft,early_declare,ras,bmi,speed_score,recruiting_rating,conference_strength,scrimmage_yards_per_game,rushing_yard_share,yards_after_contact_per_attempt,missed_tackles_per_attempt,receptions_per_game,receiving_yprr
Rome Odunze,WR,2024,Washington,00-0039919,2024-04-30,1,9,CHI,0.207,0.207,1.023,0.6895,1.023,0.83,0.4145,1.427,,,,0.3181377303588749,22,,,26.49528888888889,108.12492336701838,0.9175,80,129,0.020532741398446172,,,7.076923076923077,
Brian Thomas,WR,2024,LSU,00-0039893,2024-04-30,1,23,JAX,0.183,0.183,1.304,0.9396666666666667,1.304,0.752,0.3065,0.752,,,,0.26707510778307236,21,,,26.120355555555555,118.9117296781256,0.96,100,97.58333333333333,-0.00225140712945591,,,5.666666666666667,
Xavier Worthy,WR,2024,Texas,00-0039894,2024-04-30,1,28,KAN,0.185,0.254,0.639,0.628,0.909,-0.981,0.39366666666666666,1.54,,,,0.25055596738324687,21,,,23.01031541360841,105.04746017176966,0.9712,85,80.6923076923077,0.013133208255159476,,,5.769230769230769,
Ricky Pearsall,WR,2024,Florida,00-0039916,2024-04-30,1,31,SFO,0.182,0.2,0.949,1.0483999999999998,1.407,2.219,0.9852000000000001,2.219,,,,0.31432274789371356,23,,,24.932820416588477,99.93956204954833,0.8478,80,86,0.03329752953813104,,,5.333333333333333,
Xavier Legette,WR,2024,South Carolina,00-0039342,2024-04-30,1,32,CAR,0.204,0.204,1.09,0.546,1.09,-0.164,-0.269,-0.164,,,,0.3761990407673861,23,,,29.154250328391818,119.00472041972782,0.8719,100,103.83333333333333,-0.00841908325537886,,,5.916666666666667,
Keon Coleman,WR,2024,Florida St.,00-0039901,2024-04-30,2,33,BUF,0.205,0.205,0.461,0.709,0.964,-0.501,-0.501,-0.501,,,,0.18757126567844926,21,,,26.620266666666666,94.32045726391355,0.8926,100,50.76923076923077,0.0009298000929800093,,,3.8461538461538463,
Ladd McConkey,WR,2024,Georgia,00-0039915,2024-04-30,2,34,LAC,0.127,0.149,1.174,0.8966666666666666,1.174,1.836,1.2296666666666667,1.836,,,,0.11183902667290595,22,,,25.22337962962963,100.15781899578903,0.8522,100,39.69230769230769,0.014094955489614243,,,2.3076923076923075,
Ja'Lynn Polk,WR,2024,Washington,00-0039907,2024-04-30,2,37,NWE,0.163,0.163,0.965,1.127,2.094,1.023,0.33866666666666667,1.023,,,,0.22483026188166827,22,,,26.77969600300244,97.26851696790115,0.8848,85,91.61538461538461,0.017758046614872364,,,5.3076923076923075,
Adonai Mitchell,WR,2024,Texas,00-0039890,2024-04-30,2,52,IND,0.157,0.157,0.843,0.7793333333333333,0.843,-0.328,0.25549999999999995,0.839,,,,0.20879663948603905,21,,,26.31756756756757,115.5646314647894,0.8922,100,65.07692307692308,0.000375234521575985,,,4.230769230769231,
Malachi Corley,WR,2024,Western Kentucky,00-0039920,2024-04-30,3,65,NYJ,0.183,0.202,0.877,0.7324999999999999,0.975,-0.574,-0.427,0.4,,,,0.25645035183737297,22,,,29.983138266217022,,0.7906,55,82.91666666666667,0.007868383404864092,,,6.583333333333333,
Jermaine Burton,WR,2024,Alabama,00-0039810,2024-04-30,3,80,CIN,0.163,0.163,1.214,1.037,1.455,0.946,0.6495,0.946,,,,0.25858716785482827,23,,,26.579475308641975,99.96455179214907,0.9646,100,61.38461538461539,,,,3,
Roman Wilson,WR,2024,Michigan,00-0039739,2024-04-30,3,84,PIT,0.147,0.147,1.436,0.879,1.436,0.406,1.2782499999999999,2.356,,,,0.24617784711388455,23,,,25.799444554651856,99.6193360979622,0.8967,100,61.46153846153846,0.003909304143862392,,,3.6923076923076925,
Jalen McMillan,WR,2024,Washington,00-0039855,2024-04-30,3,92,TAM,0.215,0.215,0.6,0.507,0.698,0.711,0.17166666666666663,0.711,,,,0.10843840931134821,22,,,25.988177894539312,98.6884048469653,0.9701,80,45.30769230769231,0.016648168701442843,,,3.4615384615384617,
Luke McCaffrey,WR,2024,Rice,00-0039355,2024-04-30,3,100,WAS,0.22,0.373,0.798,0.5008,0.948,0.429,0.491,0.806,,,,0.30225472273004267,23,,,25.41891891891892,100.08194827192243,0.907,100,92.41666666666667,0.08024691358024691,,,5.916666666666667,
Troy Franklin,WR,2024,Oregon,00-0039868,2024-04-30,4,102,DEN,0.202,0.202,1.26,0.8856666666666667,1.26,,,,,,,0.28474366893143915,21,,,22.594594594594593,93.06541227894448,0.9808,80,106.38461538461539,,,,6.230769230769231,
Javon Baker,WR,2024,Central Florida,00-0039853,2024-04-30,4,110,NWE,0.161,0.169,1.472,0.7807499999999999,1.472,,,,,,,0.3385850178359096,22,,,26.647776318258586,95.09505932052586,0.9214,100,94.91666666666667,,,,4.333333333333333,
Devontez Walker,WR,2024,North Carolina,00-0039792,2024-04-30,4,113,BAL,0.212,0.243,0.636,0.914,1.47,-0.073,0.42900000000000005,0.931,,,,0.1801082195310487,23,,,24.777027027027028,106.81723885592413,0.8056,55,60.166666666666664,0.009141494435612083,,,3.4166666666666665,
Jacob Cowing,WR,2024,Arizona,00-0039365,2024-04-30,4,135,SFO,0.151,0.289,0.811,0.9222000000000001,1.41,0.115,0.2476666666666667,2.08,,,,0.2093313373253493,23,,,25.541522491349482,91.29412601972753,0.7683,55,72.08333333333333,0.014168937329700272,,,7.416666666666667,
Anthony Gould,WR,2024,Oregon St.,00-0039816,2024-04-30,5,142,IND,0.141,0.141,1.116,0.83975,1.45,-0.151,0.16499999999999995,0.96,,,,0.22808132147395171,23,,,26.45371972318339,93.69602422186715,0.8393,80,61.666666666666664,0.009838998211091235,,,3.6666666666666665,
Ainias Smith,WR,2024,Texas A&M,00-0039747,2024-04-30,5,152,PHI,0.159,0.194,0.911,0.8524,1.716,0.269,0.08820000000000001,0.269,,,,0.22585227272727273,23,,,28.0550304557866,,0.8685,100,68,0.011830985915492958,,,4.416666666666667,
Jamari Thrash,WR,2024,Louisville,00-0039379,2024-04-30,5,156,CLE,0.19,0.213,1.103,0.8778,1.411,0.804,0.313,0.804,,,,0.26134632957660675,23,,,25.494598765432098,95.02730441980513,0.8317,65,66.92307692307692,0.00477326968973747,,,4.846153846153846,
Bub Means,WR,2024,Pittsburgh,00-0039386,2024-04-30,5,170,NOR,,,,,,,,,,,,,23,,,27.96697316569713,110.09078075109203,0.8256,,,,,,,
Jha'Quan Jackson,WR,2024,Tulane,00-0039392,2024-04-30,6,182,TEN,0.149,0.149,0.767,1.0578,1.955,0.708,1.23325,2.739,,,,0.14584717607973421,24,,,27.759714345725687,98.51418471014152,0.8467,65,37.69230769230769,0.023066485753052916,,,2,
Malik Washington,WR,2024,Virginia,00-0039880,2024-04-30,6,184,MIA,0.318,0.318,0.8,0.6113999999999999,0.845,-0.943,-0.24650000000000002,0.754,,,,0.47375415282392025,23,,,28.202688510817055,95.68266662827601,0.8652,100,119.41666666666667,0.004891684136967156,,,9.166666666666666,
Johnny Wilson,WR,2024,Florida St.,00-0039236,2024-04-30,6,185,PHI,0.217,0.217,0.902,0.7075,0.902,-0.44,-0.44,-0.44,,,,0.1758836944127708,23,,,26.691814595660748,110.68486413588752,0.9491,80,47.46153846153846,,,,3.1538461538461537,
Casey Washington,WR,2024,Illinois,00-0039394,2024-04-30,6,187,ATL,0.139,0.139,0.974,0.434,0.974,,,,,,,0.20996552804763396,23,,,,,0.8359,100,55.833333333333336,,,,4.083333333333333,
Tejhaun Palmer,WR,2024,Ala-Birmingham,00-0039397,2024-04-30,6,191,ARI,0.121,0.162,1.356,0.9543333333333335,1.356,,,,,,,0.24747620421113353,24,,,,,,55,71.5,,,,3.9166666666666665,
Jordan Whittington,WR,2024,Texas,00-0039751,2024-04-30,6,213,LAR,0.104,0.2,0.667,0.571,1.071,0.863,1.08325,2.295,,,,0.12478379046207067,23,,,27.043535372490147,,0.9836,85,40.23076923076923,0.00675422138836773,,,3.230769230769231,
Ryan Flournoy,WR,2024,SE Missouri St.,00-0039410,2024-04-30,6,216,DAL,0.227,0.261,0.988,0.875,0.988,0.753,0.669,0.753,,,,0.3411956079707198,24,,,,,,,80.72727272727273,0.035025017869907075,,,5.181818181818182,
Brenden Rice,WR,2024,USC,00-0039415,2024-04-30,7,225,LAC,0.122,0.122,1.511,1.111,1.511,1.016,0.9005000000000001,1.016,,,,0.18272118272118273,22,,,26.7027027027027,101.44795000762079,0.8987,80,65.91666666666667,,,,3.75,
Devaughn Vele,WR,2024,Utah,00-0039424,2024-04-30,7,235,DEN,0.176,0.176,0.851,0.6715,1.036,0.368,0.368,0.368,,,,0.2750463821892393,26,,,24.707236842105264,101.6941430656546,,80,49.416666666666664,,,,3.5833333333333335,
Tahj Washington,WR,2024,USC,00-0039884,2024-04-30,7,241,MIA,0.132,0.153,1.376,0.9536,1.376,0.835,0.435,0.835,,,,0.24532224532224534,23,,,,,0.8281,65,89.33333333333333,0.005656108597285068,,,4.916666666666667,
Cornelius Johnson,WR,2024,Michigan,00-0039437,2024-04-30,7,253,LAC,0.159,0.168,0.754,0.7722,1.086,0.326,-1.2857500000000002,1.034,,,,0.18845553822152886,23,,,26.49528888888889,109.10231759276564,0.9294,100,49.53846153846154,0.01563721657544957,,,3.6153846153846154,
