name,position,class_year,school,external_id,scoring_date,draft_round,overall_pick,nfl_team,pass_play_usage,best_pass_play_usage,receiving_ppa,career_receiving_ppa,best_receiving_ppa,rushing_ppa,career_rushing_ppa,best_rushing_ppa,career_yprr,best_yprr,target_share,receiving_yard_share,age_at_draft,early_declare,ras,bmi,speed_score,recruiting_rating,conference_strength,scrimmage_yards_per_game,rushing_yard_share,yards_after_contact_per_attempt,missed_tackles_per_attempt,receptions_per_game,receiving_yprr
Jalen Reagor,WR,2020,TCU,00-0036387,2020-04-30,1,21,PHI,0.185,0.287,0.347,0.5086666666666666,0.83,0.03,0.36400000000000005,0.637,,,,0.25,21,,,28.728030152747472,103.19701217499924,0.9566,85,58.333333333333336,0.036178861788617886,,,3.5833333333333335,
Justin Jefferson,WR,2020,LSU,00-0036322,2020-04-30,1,22,MIN,0.221,0.221,1.008,0.8385,1.008,-0.301,-0.23399999999999999,-0.167,,,,0.2556440903054449,21,,,26.647776318258586,104.89781939490844,0.8,100,102.66666666666667,,,,7.4,
Brandon Aiyuk,WR,2020,Arizona St.,00-0036261,2020-04-30,1,25,SFO,0.255,0.255,0.821,0.826,0.831,-0.244,-0.244,-0.244,,,,0.3684698608964451,22,,,27.799961419753085,99.98475842097241,,80,99.83333333333333,0.0036452004860267314,,,5.416666666666667,
Tee Higgins,WR,2020,Clemson,00-0036410,2020-04-30,2,33,CIN,0.163,0.18,1.043,1.0090000000000001,1.214,2.866,2.866,2.866,,,,0.2698265895953757,21,,,26.289473684210527,,0.9899,85,80.2,0.009917355371900827,,,3.933333333333333,
Michael Pittman Jr.,WR,2020,USC,00-0036252,2020-04-30,2,34,IND,0.228,0.228,0.783,0.88725,0.993,-2.831,-1.725,-0.619,,,,0.2920962199312715,22,,,27.14144736842105,106.85162208789141,0.9688,80,98.07692307692308,,,,7.769230769230769,
Laviska Shenault Jr.,WR,2020,Colorado,00-0036268,2020-04-30,2,42,JAX,0.2,0.316,0.712,0.9653333333333333,1.512,0.79,-0.01533333333333331,0.834,,,,0.26731980405878236,21,,,29.945768436854944,103.17962398269448,0.8731,80,84.0909090909091,0.08865638766519823,,,5.090909090909091,
KJ Hamler,WR,2020,Penn St.,00-0036412,2020-04-30,2,46,DEN,0.222,0.222,0.588,0.513,0.588,-0.301,0.10800000000000001,0.517,,,,0.31421619742787626,21,,,26.28313379542113,,0.895,100,72.84615384615384,0.016882606988614057,,,4.3076923076923075,
Chase Claypool,WR,2020,Notre Dame,00-0036326,2020-04-30,2,49,PIT,0.261,0.261,0.58,0.6920000000000001,0.873,-1.012,-1.012,-1.012,,,,0.3163514338010982,22,,,28.967105263157894,124.71476575007277,0.9284,,79.76923076923077,,,,5.076923076923077,
Van Jefferson,WR,2020,Florida,00-0036415,2020-04-30,2,57,LAR,0.143,0.191,0.852,0.58975,0.852,0.307,0.191,0.307,,,,0.1680306905370844,24,,,26.383936948770877,,0.9517,100,55.333333333333336,0.004132231404958678,,,4.083333333333333,
Denzel Mims,WR,2020,Baylor,00-0036255,2020-04-30,2,59,NYJ,0.237,0.237,0.722,0.5075000000000001,0.837,0.373,0.23299999999999996,1.436,,,,0.2856342761131336,22,,,25.8704,112.48740527430714,0.8792,85,78.46153846153847,,,,5.076923076923077,
Antonio Gibson,WR,2020,Memphis,GibsAn00,2020-04-30,3,66,Washington Football Team,,,,,,,,,,,,,,,,30.91898148148148,122.77410070451558,,,,,,,,
Lynn Bowden Jr.,WR,2020,Kentucky,00-0036364,2020-04-30,3,80,LVR,0.496,0.496,0.062,0.3486666666666667,0.545,0.452,0.12233333333333334,0.452,,,,0.2354533152909337,22,,,28.449117238643126,,0.9335,100,139.69230769230768,0.4032967032967033,,,2.3076923076923075,
Bryan Edwards,WR,2020,South Carolina,00-0036365,2020-04-30,3,81,LVR,0.258,0.258,0.477,0.5015,0.645,0.257,0.24666666666666667,0.401,,,,0.3059617547806524,21,,,26.49528888888889,,0.9169,100,83.8,0.012222222222222223,,,7.1,
Devin Duvernay,WR,2020,Texas,00-0036331,2020-04-30,3,92,BAL,0.251,0.251,0.922,0.7325,0.922,0.455,1.4495,2.444,,,,0.368519010901356,22,,,28.693877551020407,107.69657956536454,0.9803,85,108.46153846153847,0.010376134889753566,,,8.153846153846153,
Gabe Davis,WR,2020,Central Florida,00-0036196,2020-04-30,4,128,BUF,,,,,,,,,,,,,21,,,,,,,,,,,,
Gabriel Davis,WR,2020,UCF,DaviGa01,2020-04-30,4,128,Buffalo Bills,0.258,0.258,0.78,0.6983333333333333,0.78,-0.644,-0.644,-0.644,,,,0.2989641050349313,,,,27.72972972972973,101.68580600610686,0.8122,65,103.41666666666667,,,,6,
Antonio Gandy-Golden,WR,2020,Liberty,00-0036340,2020-04-30,4,142,WAS,0.286,0.367,0.574,1.3285,3.808,,,,,,,0.37416242294291074,22,,,27.14144736842105,99.61013575566129,,,107.38461538461539,,,,6.076923076923077,
Joe Reed,WR,2020,Virginia,00-0036377,2020-04-30,5,151,LAC,0.217,0.217,0.304,0.7744999999999999,1.22,-0.057,-0.06449999999999999,0.271,,,,0.1811632870864461,22,,,30.376543209876544,112.21422683106715,0.8606,85,55.46153846153846,0.024547048509643482,,,5.923076923076923,
