name,position,class_year,school,external_id,scoring_date,target_share
Malachi Fields,WR,2026,Notre Dame,FIE775129,2026-04-30,0.21052631578947367
Caleb Douglas,WR,2026,Texas Tech,DOU210628,2026-04-30,0.2119815668202765
Zachariah Branch,WR,2026,Georgia,BRA531428,2026-04-30,0.26330532212885155
Ja'Kobi Lane,WR,2026,USC,LAN311008,2026-04-30,0.1791044776119403
Chris Brazzell II,WR,2026,Tennessee,BRA836631,2026-04-30,0.21584699453551912
Ted Hurst,WR,2026,Georgia St.,HUR541377,2026-04-30,0.2617924528301887
Zavion Thomas,WR,2026,LSU,THO417520,2026-04-30,0.14136125654450263
Chris Bell,WR,2026,Louisville,BEL267684,2026-04-30,0.2934472934472934
Brenen Thompson,WR,2026,Mississippi St.,THO495568,2026-04-30,0.23919308357348704
Elijah Sarratt,WR,2026,Indiana,SAR527100,2026-04-30,0.23229461756373937
Kaden Wetjen,WR,2026,Iowa,WET055619,2026-04-30,0.09881422924901186
Skyler Bell,WR,2026,Connecticut,BEL597603,2026-04-30,0.33827160493827163
Bryce Lance,WR,2026,North Dakota St.,LAN016345,2026-04-30,
Colbie Young,WR,2026,Georgia,YounCo01,2026-04-30,0.06722689075630252
Reggie Virgil,WR,2026,Texas Tech,VIR271235,2026-04-30,
Kendrick Law,WR,2026,Kentucky,LAW090280,2026-04-30,0.16447368421052633
Cyrus Allen,WR,2026,Cincinnati,ALL092954,2026-04-30,0.19637462235649547
Kevin Coleman Jr.,WR,2026,Missouri,COL362413,2026-04-30,0.24836601307189543
Barion Brown,WR,2026,LSU,BRO268113,2026-04-30,0.19895287958115182
Josh Cameron,WR,2026,Baylor,CAM108646,2026-04-30,0.22857142857142856
Malik Benson,WR,2026,Oregon,BEN601117,2026-04-30,0.13902439024390245
CJ Daniels,WR,2026,Miami (FL),DAN490797,2026-04-30,0.13729977116704806
Emmanuel Henderson Jr.,WR,2026,Kansas,HEN199637,2026-04-30,0.23255813953488372
CJ Williams,WR,2026,Stanford,WIL189259,2026-04-30,0.25885558583106266
Lewis Bond,WR,2026,Boston Col.,BON235618,2026-04-30,0.2704714640198511
Anthony Smith,WR,2026,East Carolina,SMI038569,2026-04-30,0.2398921832884097
Deion Burks,WR,2026,Oklahoma,BurkDe02,2026-04-30,0.21348314606741572
