name,position,class_year,school,external_id,scoring_date,target_share
Ashton Jeanty,RB,2025,Boise St.,00-0040122,2025-04-30,0.0970464135021097
Omarion Hampton,RB,2025,North Carolina,00-0040666,2025-04-30,0.16521739130434782
Quinshon Judkins,RB,2025,Ohio St.,00-0040784,2025-04-30,0.06744868035190615
TreVeyon Henderson,RB,2025,Ohio St.,00-0040734,2025-04-30,0.09090909090909091
RJ Harvey,RB,2025,Central Florida,00-0040730,2025-04-30,0.09473684210526316
Kaleb Johnson,RB,2025,Iowa,00-0040142,2025-04-30,0.1532258064516129
Bhayshul Tuten,RB,2025,Virginia Tech,00-0040719,2025-04-30,0.09205020920502092
Cam Skattebo,RB,2025,Arizona St.,00-0040715,2025-04-30,
Trevor Etienne,RB,2025,Georgia,00-0040644,2025-04-30,0.08542713567839195
Woody Marks,RB,2025,USC,00-0040583,2025-04-30,
Jarquez Hunter,RB,2025,Auburn,00-0040692,2025-04-30,0.09523809523809523
Dylan Sampson,RB,2025,Tennessee,00-0040162,2025-04-30,0.07241379310344828
Jordan James,RB,2025,Oregon,00-0040177,2025-04-30,0.07738095238095238
Jaydon Blue,RB,2025,Texas,00-0040586,2025-04-30,0.10964912280701754
DJ Giddens,RB,2025,Kansas St.,00-0040179,2025-04-30,0.09051724137931035
Ollie Gordon,RB,2025,Oklahoma St.,00-0040198,2025-04-30,0.09385113268608414
Devin Neal,RB,2025,Kansas,00-0040202,2025-04-30,0.1443850267379679
Kalel Mullings,RB,2025,Michigan,00-0040205,2025-04-30,0.03365384615384615
Tahj Brooks,RB,2025,Texas Tech,00-0040208,2025-04-30,0.07807807807807808
Damien Martinez,RB,2025,Miami (FL),00-0040651,2025-04-30,0.053824362606232294
Brashard Smith,RB,2025,SMU,00-0040078,2025-04-30,0.15593220338983052
Kyle Monangai,RB,2025,Rutgers,00-0040236,2025-04-30,0.06077348066298342
LeQuint Allen,RB,2025,Syracuse,00-0040238,2025-04-30,0.1543778801843318
Phil Mafah,RB,2025,Clemson,00-0040021,2025-04-30,0.06188118811881188
Jacory Croskey-Merritt,RB,2025,Arizona,00-0040242,2025-04-30,
Travis Hunter,WR,2025,Colorado,00-0040718,2025-04-30,0.27245508982035926
Tetairoa McMillan,WR,2025,Arizona,00-0040124,2025-04-30,0.3384615384615385
Emeka Egbuka,WR,2025,Ohio St.,00-0040129,2025-04-30,0.22287390029325513
Matthew Golden,WR,2025,Texas,00-0040667,2025-04-30,0.1600877192982456
Jayden Higgins,WR,2025,Iowa St.,00-0040130,2025-04-30,0.3161512027491409
Luther Burden,WR,2025,Missouri,00-0040735,2025-04-30,0.236
Tre Harris,WR,2025,Mississippi,00-0040727,2025-04-30,0.18674698795180722
Cleveland Harris,WR,2025,Mississippi,HarrTr03,2025-04-30,
Jack Bech,WR,2025,TCU,00-0040729,2025-04-30,0.216
Kyle Williams,WR,2025,Washington St.,00-0040131,2025-04-30,0.28270042194092826
Isaac TeSlaa,WR,2025,Arkansas,00-0040669,2025-04-30,0.10752688172043011
Pat Bryant,WR,2025,Illinois,00-0040134,2025-04-30,
Jaylin Noel,WR,2025,Iowa St.,00-0040138,2025-04-30,0.27491408934707906
Savion Williams,WR,2025,TCU,00-0040009,2025-04-30,0.17066666666666666
Tai Felton,WR,2025,Maryland,00-0040154,2025-04-30,0.29605263157894735
Chimere Dike,WR,2025,Florida,00-0040705,2025-04-30,0.21212121212121213
Dont'e Thornton,WR,2025,Tennessee,00-0040581,2025-04-30,0.1
Arian Smith,WR,2025,Georgia,00-0040582,2025-04-30,0.12814070351758794
Jaylin Lane,WR,2025,Virginia Tech,00-0040164,2025-04-30,0.17154811715481172
Joshua Lane,WR,2025,Virginia Tech,LaneJa00,2025-04-30,
Jalen Royals,WR,2025,Utah St.,00-0040646,2025-04-30,0.15234375
Elic Ayomanor,WR,2025,Stanford,00-0040170,2025-04-30,0.32051282051282054
Jordan Watkins,WR,2025,Mississippi,00-0040172,2025-04-30,0.19879518072289157
KeAndre Lambert-Smith,WR,2025,Auburn,00-0040184,2025-04-30,
Tory Horton,WR,2025,Colorado St.,00-0040648,2025-04-30,0.10222222222222223
LaJohntay Wester,WR,2025,Colorado,00-0040075,2025-04-30,0.20958083832335328
Jimmy Horn,WR,2025,Colorado,00-0040218,2025-04-30,0.08383233532934131
Tez Johnson,WR,2025,Oregon,00-0040237,2025-04-30,0.2261904761904762
Ricky White,WR,2025,UNLV,00-0040653,2025-04-30,0.4095744680851064
Kaden Prather,WR,2025,Maryland,PratKa00,2025-04-30,0.17763157894736842
Konata Mumpfield,WR,2025,Pittsburgh,00-0040590,2025-04-30,0.17218543046357615
Dominic Lovett,WR,2025,Georgia,00-0040241,2025-04-30,0.1934673366834171
Junior Bergen,WR,2025,Montana,00-0040247,2025-04-30,
Jeremiyah Love,RB,2026,Notre Dame,LOV121782,2026-04-30,0.1118421052631579
Jadarian Price,RB,2026,Notre Dame,PRI206342,2026-04-30,0.019736842105263157
Kaelon Black,RB,2026,Indiana,BLA097235,2026-04-30,0.0169971671388102
Jonah Coleman,RB,2026,Washington,COL293648,2026-04-30,0.10903426791277258
Mike Washington Jr.,RB,2026,Arkansas,WAS797326,2026-04-30,
Emmett Johnson,RB,2026,Nebraska,JOH224817,2026-04-30,0.17117117117117117
Nicholas Singleton,RB,2026,Penn St.,SingNi01,2026-04-30,0.11486486486486487
Adam Randall,RB,2026,Clemson,RAN022436,2026-04-30,0.11707317073170732
Kaytron Allen,RB,2026,Penn St.,ALL532376,2026-04-30,0.06756756756756757
Demond Claiborne,RB,2026,Wake Forest,CLA041524,2026-04-30,0.10084033613445378
Seth McGowan,RB,2026,Kentucky,MCG547540,2026-04-30,0.08223684210526316
Jam Miller,RB,2026,Alabama,MIL303300,2026-04-30,
Carnell Tate,WR,2026,Ohio St.,TAT143045,2026-04-30,0.16666666666666666
Jordyn Tyson,WR,2026,Arizona St.,TYS405541,2026-04-30,0.21311475409836064
Makai Lemon,WR,2026,USC,LEM694125,2026-04-30,0.26616915422885573
KC Concepcion,WR,2026,Texas A&M,CON046719,2026-04-30,
Omar Cooper Jr.,WR,2026,Indiana,COO816508,2026-04-30,0.23229461756373937
De'Zhaun Stribling,WR,2026,Mississippi,StriDe01,2026-04-30,0.16046511627906976
Denzel Boston,WR,2026,Washington,BOS677861,2026-04-30,0.26791277258566976
Germie Bernard,WR,2026,Alabama,BER218265,2026-04-30,0.21908893709327548
Antonio Williams,WR,2026,Clemson,WIL143106,2026-04-30,0.17317073170731706
