name,position,class_year,school,external_id,scoring_date,draft_round,overall_pick,nfl_team,pass_play_usage,best_pass_play_usage,receiving_ppa,career_receiving_ppa,best_receiving_ppa,rushing_ppa,career_rushing_ppa,best_rushing_ppa,career_yprr,best_yprr,target_share,receiving_yard_share,age_at_draft,early_declare,ras,bmi,speed_score,recruiting_rating,conference_strength,scrimmage_yards_per_game,rushing_yard_share,yards_after_contact_per_attempt,missed_tackles_per_attempt,receptions_per_game,receiving_yprr
Breece Hall,RB,2022,Iowa St.,00-0038120,2022-04-30,2,36,NYJ,0.089,0.089,0.601,0.4093333333333333,0.601,0.205,0.15666666666666665,0.205,,,,0.0880466472303207,21,,,30.262051180321365,116.85078882842053,0.8991,85,147.83333333333334,0.7022900763358778,,,3,
Kenneth Walker III,RB,2022,Michigan St.,00-0038134,2022-04-30,2,41,SEA,0.047,0.098,0.435,0.41025,0.999,0.223,0.08575,0.223,,,,0.026986052152819892,21,,,31.15584961142617,114.6610749414435,0.8159,80,143.75,0.7060854553301683,,,1.0833333333333333,
James Cook,RB,2022,Georgia,00-0037248,2022-04-30,2,63,BUF,0.069,0.079,0.757,0.67825,0.792,0.225,0.245,0.279,,,,0.07517204870301747,22,,,27.751834953382264,104.27831253892639,0.9786,100,77.84615384615384,0.25321739130434784,,,2.076923076923077,
Rachaad White,RB,2022,Arizona St.,00-0037256,2022-04-30,3,91,TAM,0.153,0.153,0.707,0.8639999999999999,1.021,0.263,0.421,0.579,,,,0.18023715415019761,23,,,29.020447530864196,106.2506787333077,,80,121.83333333333333,0.39342980054751664,,,3.5833333333333335,
Tyrion Davis-Price,RB,2022,LSU,00-0037827,2022-04-30,3,93,SFO,0.027,0.033,0.302,0.041,0.302,0.132,0.07066666666666667,0.132,,,,0.019347037484885126,21,,,28.613618827160494,104.76118323704637,0.9398,100,88.91666666666667,0.660737812911726,,,0.8333333333333334,
Brian Robinson Jr.,RB,2022,Alabama,00-0037746,2022-04-30,3,98,WAS,0.072,0.072,0.482,0.2673333333333333,0.565,0.139,0.22080000000000002,0.502,,,,0.058348117484723044,23,,,28.885135135135137,106.86111607764174,0.9519,100,126.07692307692308,0.5947741364038972,,,2.6923076923076925,
Dameon Pierce,RB,2022,Florida,00-0037258,2022-04-30,4,107,HOU,0.045,0.046,1.044,0.3515,1.044,0.335,0.16199999999999998,0.335,,,,0.06537530266343826,22,,,31.276326530612245,98.22810077672555,0.9209,100,65.83333333333333,0.21033345547819715,,,1.5833333333333333,
Zamir White,RB,2022,Georgia,00-0038040,2022-04-30,4,122,LVR,0.028,0.028,0.122,0.214,0.357,0.222,0.17266666666666666,0.227,,,,0.01985177342509264,22,,,29.020447530864196,114.19131206884772,0.9957,100,71.61538461538461,0.2977391304347826,,,0.6923076923076923,
Isaiah Spiller,RB,2022,Texas A&M,00-0038045,2022-04-30,4,123,LAC,0.085,0.085,0.269,0.256,0.4,0.137,0.17433333333333334,0.236,,,,0.07550938873351977,21,,,29.427276234567902,,0.9351,100,100,0.45417789757412397,,,2.0833333333333335,
Pierre Strong,RB,2022,South Dakota St.,00-0038098,2022-04-30,4,127,NWE,0.138,0.138,-0.577,-0.577,-0.577,0.58,0.58,0.58,,,,0.03571428571428571,23,,,28.86748660979964,113.52057787862073,,,10.428571428571429,0.563265306122449,,,0.21428571428571427,
