name,position,class_year,school,external_id,scoring_date,draft_round,overall_pick,nfl_team,pass_play_usage,best_pass_play_usage,receiving_ppa,career_receiving_ppa,best_receiving_ppa,rushing_ppa,career_rushing_ppa,best_rushing_ppa,career_yprr,best_yprr,target_share,receiving_yard_share,age_at_draft,early_declare,ras,bmi,speed_score,recruiting_rating,conference_strength,scrimmage_yards_per_game,rushing_yard_share,yards_after_contact_per_attempt,missed_tackles_per_attempt,receptions_per_game,receiving_yprr
Bijan Robinson,RB,2023,Texas,00-0038542,2023-04-30,1,8,ATL,0.08,0.097,0.658,0.6673333333333332,0.734,0.283,0.264,0.298,,,,0.10006373486297004,21,,,29.983138266217022,108.67484282052183,0.9928,85,157.66666666666666,0.6425081433224755,,,1.5833333333333333,
Jahmyr Gibbs,RB,2023,Alabama,00-0039139,2023-04-30,1,12,DET,0.127,0.14,0.516,0.6743333333333333,0.891,0.138,0.09433333333333334,0.138,,,,0.12131147540983607,21,,,29.383952951060703,110.13798203279224,0.9651,85,114.16666666666667,0.35670261941448383,,,3.6666666666666665,
Zach Charbonnet,RB,2023,UCLA,00-0039165,2023-04-30,2,52,SEA,0.129,0.129,0.305,0.07875,0.305,0.445,0.23249999999999998,0.445,,,,0.09312445604873804,22,,,29.020447530864196,101.63679484717926,0.976,100,140,0.4329404268875438,,,3.0833333333333335,
Kendre Miller,RB,2023,TCU,00-0038551,2023-04-30,3,71,NOR,0.053,0.053,0.208,-0.029333333333333333,0.319,0.24,0.286,0.405,,,,0.029546612328069283,21,,,29.983138266217022,,0.8381,85,116.53846153846153,0.47682344921608727,,,1.2307692307692308,
Tyjae Spears,RB,2023,Tulane,00-0039032,2023-04-30,3,81,TEN,0.062,0.062,0.692,0.9895,1.631,0.353,0.34525,0.387,,,,0.07727135526712949,22,,,28.83734693877551,,0.8417,65,141.30769230769232,0.5474376731301939,,,1.6923076923076923,
De'Von Achane,RB,2023,Texas A&M,00-0039040,2023-04-30,3,84,MIA,0.128,0.128,0.241,0.8130000000000001,1.826,0.113,0.25766666666666665,0.361,,,,0.0744398025066464,21,,,27.759714345725687,107.95750962947908,0.9373,100,108.16666666666667,0.6418171228887595,,,3,
Tank Bigsby,RB,2023,Auburn,00-0038555,2023-04-30,3,88,JAX,0.105,0.105,0.099,0.11333333333333333,0.207,0.042,0.13699999999999998,0.229,,,,0.08687258687258688,22,,,28.47800925925926,97.13817050604678,0.9814,100,95.83333333333333,0.38846615939126955,,,2.5,
Roschon Johnson,RB,2023,Texas,00-0039021,2023-04-30,4,115,CHI,0.054,0.062,-0.094,0.222,0.375,0.188,0.20699999999999996,0.284,,,,0.04079031230082855,22,,,29.69849537037037,99.54333767493432,0.9111,85,56.833333333333336,0.2255700325732899,,,1.1666666666666667,
Israel Abanikanda,RB,2023,Pittsburgh,00-0038389,2023-04-30,5,143,NYJ,0.046,0.054,0.668,0.4073333333333333,0.668,0.243,0.16033333333333333,0.243,,,,0.05053651782623745,20,,,30.98938775510204,,0.8881,85,131.41666666666666,0.5937759336099585,,,1,
Chase Brown,RB,2023,Illinois,00-0038597,2023-04-30,5,163,CIN,0.085,0.085,0.366,0.40349999999999997,1.021,0.041,-0.016599999999999993,0.219,,,,0.0881704628949302,23,,,29.985102040816326,108.53289234423694,0.8403,55,156.91666666666666,0.7431026684758028,,,2.25,
Eric Gray,RB,2023,Oklahoma,00-0038396,2023-04-30,5,172,NYG,0.082,0.11,-0.018,0.42075,0.72,0.315,0.111,0.315,,,,0.06918429003021148,23,,,29.69816326530612,,0.9243,100,132.75,0.4718090626080941,,,2.75,
Evan Hull,RB,2023,Northwestern,00-0038397,2023-04-30,5,176,IND,0.141,0.141,0.685,-0.09449999999999992,0.685,-0.03,0.12775,0.228,,,,0.2163232963549921,22,,,,,0.8485,100,121.58333333333333,0.5871382636655949,,,4.583333333333333,
Chris Rodriguez,RB,2023,Kentucky,00-0038611,2023-04-30,6,193,WAS,0.032,0.044,-0.216,-0.049666666666666665,0.336,0.149,0.512,1.42,,,,0.015129151291512915,22,,,,,0.8468,100,78.66666666666667,0.576996805111821,,,0.4166666666666667,
Deuce Vaughn,RB,2023,Kansas St.,00-0038622,2023-04-30,6,212,DAL,0.131,0.175,0.468,0.5076666666666666,0.63,0.037,0.14166666666666666,0.277,,,,0.12826603325415678,21,,,29.783905325443786,,0.85,85,148.92307692307693,0.5288526816021725,,,3.230769230769231,
Zach Evans,RB,2023,Mississippi,00-0039136,2023-04-30,6,215,LAR,0,0.075,0.786,0.695,1.008,0.354,0.385,0.467,,,,0.03816549069916613,22,,,28.170204324538783,,0.9924,85,87.91666666666667,0.27956989247311825,,,1,
DeWayne McBride,RB,2023,Ala-Birmingham,00-0039046,2023-04-30,7,222,MIN,0.015,0.015,-0.203,-0.10850000000000001,-0.014,0.408,0.391,0.508,,,,0.003786444528587656,22,,,,,0.8267,55,143.33333333333334,0.5573663624511083,,,0.16666666666666666,
Lew Nichols,RB,2023,Central Michigan,00-0038409,2023-04-30,7,235,GNB,0.087,0.108,0.007,0.07825,0.545,-0.044,0.14125,0.309,,,,0.051261513816579896,22,,,,,0.8541,55,60.75,0.31351069379238394,,,1.75,
Kenny McIntosh,RB,2023,Georgia,00-0038636,2023-04-30,7,237,SEA,0.099,0.099,0.474,0.3265,0.838,0.278,0.20075,0.278,,,,0.11359026369168357,23,,,27.66435185185185,89.5554995696716,0.9233,100,102.53846153846153,0.26664522354454806,,,3.3076923076923075,
Jaxon Smith-Njigba,WR,2023,Ohio St.,00-0038543,2023-04-30,1,20,SEA,0.09,0.215,-0.079,0.47433333333333333,1.163,-3.017,-3.017,-3.017,,,,0.0110881897885508,21,,,25.85625820979546,,0.9855,100,3.5833333333333335,,,,0.4166666666666667,
Quentin Johnston,WR,2023,TCU,00-0038544,2023-04-30,1,21,LAC,0.206,0.222,0.75,0.864,0.978,-0.615,0.6613333333333334,1.352,,,,0.27228731533367295,22,,,25.99537777777778,,0.9674,85,81.6923076923077,-0.0023858214042263124,,,4.615384615384615,
Zay Flowers,WR,2023,Boston Col.,00-0039064,2023-04-30,1,22,BAL,0.21,0.237,0.846,0.70875,0.974,0.251,0.07825000000000001,0.251,,,,0.3632377740303541,22,,,26.87376601554295,95.37011498534977,0.8507,85,93.08333333333333,0.050188205771643665,,,6.5,
Jordan Addison,WR,2023,USC,00-0038994,2023-04-30,1,23,MIN,0.181,0.227,0.788,0.7593333333333333,0.917,0.744,0.49466666666666664,0.744,,,,0.1864081806561568,21,,,24.125967070025787,85.13158804117087,0.9085,85,69.84615384615384,0.01361947998349154,,,4.538461538461538,
Jonathan Mingo,WR,2023,Mississippi,00-0039062,2023-04-30,2,39,CAR,0.165,0.165,0.889,0.67675,0.889,-0.664,-0.664,-0.664,,,,0.2764592687620269,22,,,28.243243243243242,111.20216474658048,0.9157,100,71.25,-0.002090800477897252,,,4.25,
Jayden Reed,WR,2023,Michigan St.,00-0039146,2023-04-30,2,50,GNB,0.171,0.213,0.672,0.65275,0.883,-0.132,-0.3662500000000001,0.521,,,,0.22083333333333333,23,,,26.0783574687562,95.37434278128508,0.8204,55,53.916666666666664,0.007947976878612716,,,4.583333333333333,
Rashee Rice,WR,2023,SMU,00-0039067,2023-04-30,2,55,KAN,0.226,0.226,0.92,0.7715,0.92,0.93,-1.2686666666666668,0.93,,,,0.3338260655333826,23,,,26.911615687746295,98.61750154699881,0.8663,65,112.91666666666667,,,,8,
Marvin Mims,WR,2023,Oklahoma,00-0038976,2023-04-30,2,63,DEN,0.17,0.17,0.82,1.123,1.564,-0.688,-0.15049999999999997,0.387,,,,0.327190332326284,21,,,25.52053164054751,99.44538727148891,0.9285,85,90.5,0.0010377032168799724,,,4.5,
Tank Dell,WR,2023,Houston,00-0038977,2023-04-30,3,69,HOU,,,,,,,,,,,,,23,,,,,,,,,,,,
