name,position,class_year,school,external_id,scoring_date,early_declare
Nico Collins,WR,2021,Michigan,00-0036554,2021-04-30,false
Anthony Schwartz,WR,2021,Auburn,00-0036999,2021-04-30,true
Dez Fitzpatrick,WR,2021,Louisville,00-0036627,2021-04-30,false
Amon-Ra St. Brown,WR,2021,USC,00-0036963,2021-04-30,true
Jaelon Darden,WR,2021,North Texas,00-0036877,2021-04-30,false
Tylan Wallace,WR,2021,Oklahoma St.,00-0036630,2021-04-30,false
Jacob Harris,WR,2021,Central Florida,00-0036918,2021-04-30,false
Ihmir Smith-Marsette,WR,2021,Iowa,00-0036635,2021-04-30,false
Simi Fehoko,WR,2021,Stanford,00-0036646,2021-04-30,true
Cornell Powell,WR,2021,Clemson,00-0036647,2021-04-30,false
Frank Darby,WR,2021,Arizona St.,00-0036951,2021-04-30,false
Marquez Stevenson,WR,2021,Houston,00-0036571,2021-04-30,false
Shi Smith,WR,2021,South Carolina,00-0036572,2021-04-30,false
Racey McMath,WR,2021,LSU,00-0036652,2021-04-30,false
Jalen Camp,WR,2021,Georgia Tech,00-0036858,2021-04-30,false
Seth Williams,WR,2021,Auburn,00-0036657,2021-04-30,true
Dazz Newsome,WR,2021,North Carolina,00-0036907,2021-04-30,false
Mike Strachan,WR,2021,Charleston (WV),00-0036482,2021-04-30,false
Tre Nixon,WR,2021,Central Florida,00-0036536,2021-04-30,false
Ben Skowronek,WR,2021,Notre Dame,00-0036862,2021-04-30,false
Kawaan Baker,WR,2021,South Alabama,00-0036939,2021-04-30,false
Dax Milne,WR,2021,BYU,00-0036671,2021-04-30,true
Breece Hall,RB,2022,Iowa St.,00-0038120,2022-04-30,true
Kenneth Walker III,RB,2022,Michigan St.,00-0038134,2022-04-30,true
James Cook,RB,2022,Georgia,00-0037248,2022-04-30,false
Rachaad White,RB,2022,Arizona St.,00-0037256,2022-04-30,false
Tyrion Davis-Price,RB,2022,LSU,00-0037827,2022-04-30,true
Brian Robinson Jr.,RB,2022,Alabama,00-0037746,2022-04-30,false
Dameon Pierce,RB,2022,Florida,00-0037258,2022-04-30,false
Zamir White,RB,2022,Georgia,00-0038040,2022-04-30,true
Isaiah Spiller,RB,2022,Texas A&M,00-0038045,2022-04-30,true
Pierre Strong,RB,2022,South Dakota St.,00-0038098,2022-04-30,false
Hassan Haskins,RB,2022,Michigan,00-0037617,2022-04-30,false
Tyler Allgeier,RB,2022,BYU,00-0037263,2022-04-30,true
Snoop Conner,RB,2022,Mississippi,00-0037265,2022-04-30,true
Jerome Ford,RB,2022,Cincinnati,00-0037267,2022-04-30,true
Kyren Williams,RB,2022,Notre Dame,00-0037840,2022-04-30,true
Ty Chandler,RB,2022,North Carolina,00-0037276,2022-04-30,false
Tykevious Chandler,RB,2022,North Carolina,ChanTy01,2022-04-30,false
Kevin Harris,RB,2022,South Carolina,00-0037286,2022-04-30,true
Tyler Badie,RB,2022,Missouri,00-0037085,2022-04-30,false
Keaontay Ingram,RB,2022,USC,00-0037299,2022-04-30,false
Trestan Ebner,RB,2022,Baylor,00-0037087,2022-04-30,false
Brittain Brown,RB,2022,UCLA,00-0037329,2022-04-30,false
Isiah Pacheco,RB,2022,Rutgers,00-0037197,2022-04-30,false
Zander Horvath,RB,2022,Purdue,00-0037331,2022-04-30,false
Drake London,WR,2022,USC,00-0037238,2022-04-30,true
Garrett Wilson,WR,2022,Ohio St.,00-0037740,2022-04-30,true
Chris Olave,WR,2022,Ohio St.,00-0037239,2022-04-30,false
Jameson Williams,WR,2022,Alabama,00-0037240,2022-04-30,true
Jahan Dotson,WR,2022,Penn St.,00-0037741,2022-04-30,false
Treylon Burks,WR,2022,Arkansas,00-0037742,2022-04-30,true
Christian Watson,WR,2022,North Dakota St.,00-0038124,2022-04-30,false
Wan'Dale Robinson,WR,2022,Kentucky,00-0038117,2022-04-30,true
John Metchie,WR,2022,Alabama,00-0037614,2022-04-30,true
Tyquan Thornton,WR,2022,Baylor,00-0038104,2022-04-30,false
George Pickens,WR,2022,Georgia,00-0037247,2022-04-30,true
Alec Pierce,WR,2022,Cincinnati,00-0037664,2022-04-30,false
Skyy Moore,WR,2022,Western Michigan,00-0038090,2022-04-30,true
Velus Jones Jr.,WR,2022,Tennessee,00-0037745,2022-04-30,false
Jalen Tolbert,WR,2022,South Alabama,00-0037666,2022-04-30,false
David Bell,WR,2022,Purdue,00-0037257,2022-04-30,true
Danny Gray,WR,2022,SMU,00-0037828,2022-04-30,false
Erik Ezukanma,WR,2022,Texas Tech,00-0038092,2022-04-30,true
Romeo Doubs,WR,2022,Nevada,00-0037816,2022-04-30,false
Calvin Austin III,WR,2022,Memphis,00-0037837,2022-04-30,false
Khalil Shakir,WR,2022,Boise St.,00-0037261,2022-04-30,false
Montrell Washington,WR,2022,Samford,00-0037272,2022-04-30,false
Kyle Philips,WR,2022,UCLA,00-0037273,2022-04-30,false
Jalen Nailor,WR,2022,Michigan St.,00-0037291,2022-04-30,true
Michael Woods II,WR,2022,Oklahoma,00-0037300,2022-04-30,false
Mike Woods,WR,2022,Oklahoma,WoodMi00,2022-04-30,false
Bo Melton,WR,2022,Rutgers,00-0037091,2022-04-30,false
Dareke Young,WR,2022,Lenoir-Rhyne,00-0037093,2022-04-30,false
Samori Toure,WR,2022,Nebraska,00-0037098,2022-04-30,false
Bijan Robinson,RB,2023,Texas,00-0038542,2023-04-30,true
Jahmyr Gibbs,RB,2023,Alabama,00-0039139,2023-04-30,true
Zach Charbonnet,RB,2023,UCLA,00-0039165,2023-04-30,false
Kendre Miller,RB,2023,TCU,00-0038551,2023-04-30,true
Tyjae Spears,RB,2023,Tulane,00-0039032,2023-04-30,true
De'Von Achane,RB,2023,Texas A&M,00-0039040,2023-04-30,true
Tank Bigsby,RB,2023,Auburn,00-0038555,2023-04-30,true
Roschon Johnson,RB,2023,Texas,00-0039021,2023-04-30,false
Israel Abanikanda,RB,2023,Pittsburgh,00-0038389,2023-04-30,true
Chase Brown,RB,2023,Illinois,00-0038597,2023-04-30,false
Eric Gray,RB,2023,Oklahoma,00-0038396,2023-04-30,false
Evan Hull,RB,2023,Northwestern,00-0038397,2023-04-30,true
Chris Rodriguez,RB,2023,Kentucky,00-0038611,2023-04-30,false
Deuce Vaughn,RB,2023,Kansas St.,00-0038622,2023-04-30,true
Zach Evans,RB,2023,Mississippi,00-0039136,2023-04-30,true
DeWayne McBride,RB,2023,Ala-Birmingham,00-0039046,2023-04-30,true
Lew Nichols,RB,2023,Central Michigan,00-0038409,2023-04-30,true
Kenny McIntosh,RB,2023,Georgia,00-0038636,2023-04-30,false
Jaxon Smith-Njigba,WR,2023,Ohio St.,00-0038543,2023-04-30,true
Quentin Johnston,WR,2023,TCU,00-0038544,2023-04-30,true
Zay Flowers,WR,2023,Boston Col.,00-0039064,2023-04-30,false
Jordan Addison,WR,2023,USC,00-0038994,2023-04-30,true
Jonathan Mingo,WR,2023,Mississippi,00-0039062,2023-04-30,false
Jayden Reed,WR,2023,Michigan St.,00-0039146,2023-04-30,false
Rashee Rice,WR,2023,SMU,00-0039067,2023-04-30,false
Marvin Mims,WR,2023,Oklahoma,00-0038976,2023-04-30,true
Tank Dell,WR,2023,Houston,00-0038977,2023-04-30,false
Nathaniel Dell,WR,2023,Houston,DellNa00,2023-04-30,false
Jalin Hyatt,WR,2023,Tennessee,00-0038938,2023-04-30,true
Cedric Tillman,WR,2023,Tennessee,00-0038979,2023-04-30,false
Josh Downs,WR,2023,North Carolina,00-0038997,2023-04-30,true
Michael Wilson,WR,2023,Stanford,00-0038559,2023-04-30,false
Tre Tucker,WR,2023,Cincinnati,00-0038563,2023-04-30,false
Derius Davis,WR,2023,TCU,00-0038573,2023-04-30,false
Charlie Jones,WR,2023,Purdue,00-0038576,2023-04-30,false
