name,position,class_year,school,external_id,scoring_date,draft_round,overall_pick,nfl_team,pass_play_usage,best_pass_play_usage,receiving_ppa,career_receiving_ppa,best_receiving_ppa,rushing_ppa,career_rushing_ppa,best_rushing_ppa,career_yprr,best_yprr,target_share,receiving_yard_share,age_at_draft,early_declare,ras,bmi,speed_score,recruiting_rating,conference_strength,scrimmage_yards_per_game,rushing_yard_share,yards_after_contact_per_attempt,missed_tackles_per_attempt,receptions_per_game,receiving_yprr
Najee Harris,RB,2021,Alabama,00-0036893,2021-04-30,1,24,PIT,0.127,0.127,0.356,0.2425,0.751,0.246,0.2455,0.268,,,,0.09128006872852233,23,,,,,0.9984,100,171.9090909090909,0.6108333333333333,,,3.909090909090909,
Travis Etienne,RB,2021,Clemson,00-0036973,2021-04-30,1,25,JAX,0.121,0.121,0.659,0.6040000000000001,0.825,0.218,0.38399999999999995,0.484,,,,0.1406025824964132,22,,,30.84591836734694,109.65499303730637,0.9171,85,136.54545454545453,0.4895554365291912,,,4.363636363636363,
Javonte Williams,RB,2021,North Carolina,00-0036997,2021-04-30,2,35,DEN,0.085,0.085,0.776,0.4296666666666667,0.88,0.455,0.37333333333333335,0.494,,,,0.0847457627118644,21,,,31.30350766645663,98.92823708641994,0.8344,85,131.36363636363637,0.3990199509975499,,,2.272727272727273,
Trey Sermon,RB,2021,Ohio St.,00-0036984,2021-04-30,3,88,SFO,0.075,0.075,0.062,0.29050000000000004,0.624,0.315,0.237,0.315,,,,0.04523809523809524,22,,,29.156057098765434,98.58336890820615,0.9233,85,160.83333333333334,0.41567128523650265,,,2,
Michael Carter,RB,2021,North Carolina,00-0036924,2021-04-30,4,107,NYJ,0.085,0.085,0.56,0.3025,0.56,0.373,0.17475000000000002,0.373,,,,0.07418727424284524,22,,,31.47761194029851,98.03383630544124,0.8803,85,137.45454545454547,0.4357717885894295,,,2.272727272727273,
Kene Nwangwu,RB,2021,Iowa St.,00-0036842,2021-04-30,4,119,MIN,0.011,0.011,0.054,-0.036000000000000004,0.054,0.018,0.10900000000000001,0.337,,,,0.007596685082872928,23,,,,,0.845,85,32.81818181818182,0.14401019541206458,,,0.2727272727272727,
Rhamondre Stevenson,RB,2021,Oklahoma,00-0036875,2021-04-30,4,120,NWE,0.124,0.124,0.346,0.4695,0.593,0.273,0.239,0.273,,,,0.0608946608946609,23,,,32.21444157905177,99.67128407061693,,85,87.5,0.3331660812844957,,,1.8,
Chuba Hubbard,RB,2021,Oklahoma St.,00-0036555,2021-04-30,4,126,CAR,0.045,0.079,0.358,0.4146666666666667,0.743,0.156,0.23800000000000002,0.285,,,,0.01977186311787072,22,,,28.47800925925926,104.2646847382926,0.89,85,67.5,0.2905783582089552,,,0.8,
Kenneth Gainwell,RB,2021,Memphis,00-0036919,2021-04-30,5,150,PHI,0.126,0.126,0.845,0.845,0.845,0.183,0.183,0.183,,,,0.14603782619104622,22,,,,105.32633578052365,0.828,65,159.15384615384616,0.5397706252312245,,,3.923076923076923,
Elijah Mitchell,RB,2021,Louisiana,00-0036567,2021-04-30,6,194,SFO,0.071,0.071,0.403,0.6515,1.51,0.257,0.27674999999999994,0.311,,,,0.06681222707423581,23,,,28.83734693877551,109.22690077360258,0.7719,65,103.1,0.35589785164167004,,,1.6,
